ID,LOCATION ,DATE,decimalLatitude,decimalLongitude,sex,hindwingWhite,forewingTip,groundColour,Collector
ABR1-2019-0001,Le Morne Mauritius,2018/09,-20.443,57.33,male,absent,present,intermediate,I. Bampton
ABR1-2019-0002,Goodlands Maurius,2017/10/05,-20.04345,57.67048,male,absent,present,intermediate,I. Bampton
ABR1-2019-0003,Macabe B. river Mauritius,1995/12/28,-20.425,57.453,female,absent,present,light,S. Collins
ABR1-2019-0004,Mauritius Chamarel Bois Ebene,2014/04/18,-20.43,57.375,female,absent,present,intermediate,na
ABR1-2019-0005,River 40K Maevatanana Majunga - Tana Rd W. Madagascar,2003//26,-17.237,46.925,male,absent,present,light,S. Collins
ABR1-2019-0006,Zombitze F. 20k E. Sakaraha S. W. Madagascar; 900m,2003//26,-22.886,44.692,male,absent,present,light,S. Collins
ABR1-2019-0007,Maronsetra NE Madagascar 8km,2011/12/24,-15.574,49.58,male,absent,present,light,N. Voloina
ABR1-2019-0008,Sarondrano; 20k S Tulear; Madagascar,2006/14/15,-23.51,43.753,female,absent,present,intermediate,na
ABR1-2019-0009,St Francis; La reunion,2014/6,-20.925,55.466,male,absent,present,intermediate,na
ABR1-2019-0010,St Francis; La reunion,2014/6,-20.925,55.466,female,absent,present,dark,na
ABR1-2019-0011,G. Comore; Comoro islands,1981/3,-11.707,43.264,male,absent,present,light,S. Collins
ABR1-2019-0012,G. Comore; Comoro islands,1980/9,-11.707,43.264,male,absent,present,light,S. Collins
ABR1-2019-0013,G. Comore; Comoro islands,1981/3,-11.707,43.264,female,absent,present,light,S. Collins
ABR1-2019-0014,G. Comore; Comoro islands,1981/3,-11.707,43.264,female,absent,present,light,S. Collins
ABR1-2019-0015,Rodrigues,2014/04/24,-19.715,63.375,male,absent,present,light,na
ABR1-2019-0016,Env Sangui C. Africa Rep.,2014/04/03,NA,NA,male,absent,partial,light,na
ABR1-2019-0017,Rodrigues,2014/04/24,-19.715,63.375,female,absent,present,light,na
ABR1-2019-0018,Rodrigues,2014/04/24,-19.715,63.375,female,absent,present,light,na
ABR1-2019-0019,Lume DRC,2014/6,-19.715,63.375,male,absent,present,light,na
ABR1-2019-0020,Kasuo N. Kivu E. DRC,2014/07,-0.249,29.001,male,absent,present,intermediate,na
ABR1-2019-0021,Manzumbu Kivu E. DRC,2014/08,0.914,29.234,male,partial,present,light,na
ABR1-2019-0022,L. Wiro E. Zaire ,1990/05,-2.244,28.813,male,partial,present,dark,S. Collins
ABR1-2019-0023,Harare; Zimbabwe,1998/05/12,NA,NA,female,absent,present,dark,R.D Stephen
ABR1-2019-0024,Marowe R. Uzumba Dist; Zimbabwe,1986/05/04,-17.234,31.942,male,partial,present,dark,RD Pare
ABR1-2019-0025,Mtoroshanga; Rhodesia,1973/02/25,-17.148,30.678,male,absent,present,dark,RD Pare
ABR1-2019-0026,Mt. Demera Inyanga Mts; Zimbabwe,1998/11/29,-18.247,32.606,female,absent,partial,light,RD Pare
ABR1-2019-0027,Moucha island Djibouti,1998/11/25,11.724,43.212,male,absent,absent,light,A. Archer
