Site,sex,Total ,A-,Aa,aa,C-,Cc,cc,B-,bb,latitude,longitude,decimalLatitude,decimalLongitude,collector,dataset
1,m,23,23,0,0,0,0,23,0,23,6.06N,100.23E,6.100,100.383,dass,Smith field notes
1,f,20,20,0,0,0,0,20,0,20,6.06N,100.23E,6.100,100.383,dass,Smith field notes
2,m,10,0,0,10,0,0,10,0,10,2.31N,101.48E,2.517,101.800,dass,Smith field notes
2,f,6,0,0,6,0,0,6,0,6,2.31N,101.48E,2.517,101.800,dass,Smith field notes
3,m,107,19,29,59,1,4,102,7,100,0.18N,32.34E,0.300,32.567,dass/ijg,Smith field notes
3,f,104,36,35,33,3,3,98,23,81,0.18N,32.34E,0.300,32.567,dass/ijg,Smith field notes
3,m,26,6,9,11,3,2,21,11,15,0.18N,32.34E,0.300,32.567,fj,Smith field notes
3,f,13,6,5,2,3,4,6,6,7,0.18N,32.34E,0.300,32.567,fj,Smith field notes
4,m,68,62,6,0,0,0,68,62,6,11.40S,43.16E,-11.667,43.267,dass,Smith field notes
4,f,25,24,1,0,0,0,25,23,2,11.40S,43.16E,-11.667,43.267,dass,Smith field notes
4,m,16,15,1,0,0,1,15,15,1,11.40S,43.16E,-11.667,43.267,dass,Smith field notes
4,f,19,19,0,0,0,0,19,17,2,11.40S,43.16E,-11.667,43.267,dass,Smith field notes
5,m,13,13,0,0,0,0,13,13,0,21.15S,55.30E,-21.250,55.500,dass,Smith field notes
5,m,2,2,0,0,0,0,2,2,0,21.15S,55.30E,-21.250,55.500,oumnh,Smith field notes
5,f,11,11,0,0,0,0,11,11,0,21.15S,55.30E,-21.250,55.500,dass,Smith field notes
5,m,5,5,0,0,0,0,5,3,2,21.15S,55.30E,-21.250,55.500,mnhnp,Smith field notes
5,f,8,8,0,0,0,0,8,5,3,21.15S,55.30E,-21.250,55.500,mnhnp,Smith field notes
5,mf,3,3,NA,0,0,NA,3,NA,NA,21.15S,55.30E,-21.250,55.500,nhmukr,Smith field notes
6,m,20,16,3,1,14,6,0,0,20,1.17S,36.50E,-1.283,36.833,dass,Smith field notes
6,f,25,23,1,1,23,2,0,0,25,1.17S,36.50E,-1.283,36.833,dass,Smith field notes
7,m,12,0,3,9,0,0,12,0,12,16.54N,25.00W,16.900,-25.000,dass,Smith field notes
7,f,15,2,5,8,0,0,15,0,15,16.54N,25.00W,16.900,-25.000,dass,Smith field notes
8,m,3,1,1,1,2,1,0,0,3,3.00N,35.00E,3.000,35.000,dass,Smith field notes
8,f,5,4,1,0,1,0,4,1,4,3.00N,35.00E,3.000,35.000,dass,Smith field notes
9,m,14,0,0,14,0,0,14,2,12,5.10N,1.13W,5.167,-1.217,fa,Smith field notes
9,f,6,0,0,6,0,0,6,0,6,5.10N,1.13W,5.167,-1.217,fa,Smith field notes
10,m,33,30,3,0,13,11,9,20,13,6.51S,39.16E,-6.850,39.267,dass,Smith field notes
10,f,17,17,0,0,9,4,4,11,6,6.51S,39.16E,-6.850,39.267,dass,Smith field notes
10,m,45,43,2,0,36,7,2,14,31,6.51S,39.16E,-6.850,39.267,dass,Smith field notes
10,f,16,16,0,0,9,3,4,7,9,6.51S,39.16E,-6.850,39.267,dass,Smith field notes
11,m,7,7,0,0,0,0,7,7,0,15.31S,28.20E,-15.517,28.333,dass,Smith field notes
11,f,6,6,0,0,0,0,6,6,0,15.31S,28.20E,-15.517,28.333,dass,Smith field notes
12,m,8,8,0,0,0,0,8,0,8,23.37N,58.38E,23.617,58.633,dass,Smith field notes
12,f,5,5,0,0,0,0,5,0,5,23.37N,58.38E,23.617,58.633,dass,Smith field notes
13,m,27,24,2,1,5,4,18,0,27,17.00N,54.04E,17.000,54.067,dass,Smith field notes
13,f,14,14,0,0,2,6,6,0,14,17.00N,54.04E,17.000,54.067,dass,Smith field notes
13,m,6,6,0,0,1,0,5,0,6,17.00N,54.04E,17.000,54.067,dass,Smith field notes
13,f,1,1,0,0,1,0,0,0,1,17.00N,54.04E,17.000,54.067,dass,Smith field notes
13,m,14,10,3,1,7,1,6,0,14,17.00N,54.04E,17.000,54.067,dass,Smith field notes
13,f,10,10,0,0,5,0,5,0,10,17.00N,54.04E,17.000,54.067,dass,Smith field notes
14,m,24,22,1,1,22,1,1,0,24,3.49S,39.48E,-3.817,39.800,dass,Smith field notes
14,f,7,6,1,0,5,1,1,0,7,3.49S,39.48E,-3.817,39.800,dass,Smith field notes
15,m,3,2,1,0,3,0,0,0,3,2.60S,32.15E,-3.000,32.250,dass,Smith field notes
15,f,2,2,0,0,2,0,0,0,2,2.60S,32.15E,-3.000,32.250,dass,Smith field notes
16,m,9,8,1,0,9,0,0,0,9,3.18S,40.01E,-3.300,40.017,dass,Smith field notes
16,f,4,4,0,0,4,0,0,0,4,3.18S,40.01E,-3.300,40.017,dass,Smith field notes
17,m,2,2,0,0,2,0,0,0,2,3.04S,38.42E,-3.067,38.700,dass/ijg,Smith field notes
17,f,1,1,0,0,1,0,0,0,1,3.04S,38.42E,-3.067,38.700,dass/ijg,Smith field notes
17,m,37,35,0,2,34,3,0,1,36,3.04S,38.42E,-3.067,38.700,nkl,Smith field notes
17,f,14,14,0,0,10,4,0,1,13,3.04S,38.42E,-3.067,38.700,nkl,Smith field notes
