ID,sex,location,country,decimalLatitude,decimalLongitude,date,year,month,day,Collector,hindwingWhite,forewingTip,groundColour
IN19MRC001,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN19MRC002,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN19MRC003,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN19MRC004,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,present,intermediate
IN19MRC005,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,intermediate
IN19MRC006,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN19MRC007,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,present,light
IN19MRC008,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,partial,light
IN19MRC009,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN19MRC010,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN19MRC011,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN19MRC012,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN19MRC013,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,present,light
IN19MRC014,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,partial,light
IN19MRC015,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN19MRC016,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,present,absent,light
IN19MRC017,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN19MRC018,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN19MRC019,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,absent,light
IN19MRC020,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN19MRC021,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN19MRC022,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN19MRC023,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN19MRC024,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN19MRC025,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,dark
IN19MRC026,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
GA19MRC027,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,absent,light
GA19MRC028,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN19MRC029,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,absent,light
IN19MRC032,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN19MRC033,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,intermediate
IN19MRC034,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN19MRC035,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN19MRC036,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,present,light
IN19MRC037,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN19MRC038,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN19MRC039(a),female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,present,light
IN19MRC039(b),male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,present,present,intermediate
IN19MRC040,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN19MRC041,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,present,present,light
IN19MRC042,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,present,light
IN19MRC043,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,partial,light
IN19MRC044,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN19MRC045,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,absent,light
IN19MRC046,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,present,light
IN19MRC047,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN19MRC048,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN19MRC049,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,present,light
IN19MRC050,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN19MRC051,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,present,light
IN19MRC052,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,present,dark
IN19MRC053,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN19MRC054,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN19MRC055,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN19MRC056,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN19MRC057,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,present,partial,light
IN19MRC058,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN19MRC059,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,partial,light
IN19MRC060,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,partial,light
IN19MRC061,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,partial,intermediate
IN19MRC062,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN19MRC063,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,partial,light
IN19MRC064,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN19MRC065,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,present,light
IN19MRC066,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN19MRC067,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,present,intermediate
IN20MRC068,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,present,light
IN20MRC069,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,present,partial,light
IN20MRC070,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,present,present,dark
IN20MRC071,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,present,partial,light
IN20MRC072,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,present,light
IN20MRC073,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,absent,light
IN20MRC074,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,present,light
IN20MRC075,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,present,present,light
IN20MRC076,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC077,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC078,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN20MRC079,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN20MRC080,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,partial,light
IN20MRC081,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC082,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC083,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,present,light
IN20MRC084,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,partial,light
IN20MRC085,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN20MRC086,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN20MRC087,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC088,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,present,present,light
IN20MRC089,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,present,light
IN20MRC090,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN20MRC091,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC092,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN20MRC093,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,absent,light
IN20MRC094,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,present,present,light
IN20MRC095,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC096,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC097,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,absent,light
IN20MRC098,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC099,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC100,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC101,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC102,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN20MRC103,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC104,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC105,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,present,light
IN20MRC106,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN20MRC107,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,partial,light
IN20MRC108,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN20MRC109,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC110,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,present,dark
IN20MRC111,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC112,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC113,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC114,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC115,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC116,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC117,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC118,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,intermediate
IN20MRC119,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,absent,light
IN20MRC120,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,absent,light
IN20MRC121,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,absent,light
IN20MRC122,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,partial,light
IN20MRC123,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC124,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC125,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC126,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC127,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC128,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IN20MRC129,female,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,partial,partial,light
IN20MRC130,male,Mpala,Kenya,0.302,36.908,,,,,Ivy Ng'iru,absent,absent,light
IG15.WA008,male,Watamu,Kenya,-3.33,40.02,,2015,3,4,Ian Gordon,absent,absent,light
IG15.WA009,female,Watamu,Kenya,-3.33,40.02,,2015,3,4,Ian Gordon,absent,absent,light
IG15.WA010,male,Watamu,Kenya,-3.33,40.02,,2015,3,4,Ian Gordon,absent,absent,light
IG15.WA011,female,Watamu,Kenya,-3.33,40.02,,2015,3,4,Ian Gordon,absent,absent,light
IG15.WA012,female,Watamu,Kenya,-3.33,40.02,,2015,3,4,Ian Gordon,absent,present,light
IG15.WA013,male,Watamu,Kenya,-3.33,40.02,,2015,3,4,Ian Gordon,absent,absent,light
IG15.WA014,male,Watamu,Kenya,-3.33,40.02,,2015,3,4,Ian Gordon,absent,absent,light
IG15.WA015,male,Watamu,Kenya,-3.33,40.02,,2015,3,4,Ian Gordon,absent,absent,light
IG15.WA016,male,Watamu,Kenya,-3.33,40.02,,2015,3,4,Ian Gordon,absent,absent,light
IG15.WA017,male,Watamu,Kenya,-3.33,40.02,,2015,3,4,Ian Gordon,absent,absent,light
IG15.WA018,male,Watamu,Kenya,-3.33,40.02,,2015,3,4,Ian Gordon,absent,absent,light
IG15.WA019,male,Watamu,Kenya,-3.33,40.02,,2015,3,4,Ian Gordon,absent,absent,light
IG15.WA020,male,Watamu,Kenya,-3.33,40.02,,2015,3,4,Ian Gordon,absent,absent,light
IG15.WA021,male,Watamu,Kenya,-3.33,40.02,,2015,3,4,Ian Gordon,absent,absent,light
IG15.WA022,male,Watamu,Kenya,-3.33,40.02,,2015,3,4,Ian Gordon,absent,absent,light
IG15.WA023,male,Watamu,Kenya,-3.33,40.02,,2015,3,4,Ian Gordon,absent,absent,light
IG15.WA024,male,Watamu,Kenya,-3.33,40.02,,2015,3,4,Ian Gordon,absent,absent,light
IG15.WA025,female,Watamu,Kenya,-3.33,40.02,,2015,2,24,Ian Gordon,absent,partial,light
IG15.WA026,female,Watamu,Kenya,-3.33,40.02,,2015,2,22,Ian Gordon,absent,absent,light
IG15.WA027,male,Watamu,Kenya,-3.33,40.02,,2015,2,27,Ian Gordon,absent,absent,light
IG15.WA028,male,Watamu,Kenya,-3.33,40.02,,2015,2,27,Ian Gordon,absent,absent,light
IG15.WA029,female,Watamu,Kenya,-3.33,40.02,,2015,2,25,Ian Gordon,absent,absent,light
IG15.WA030,female,Watamu,Kenya,-3.33,40.02,,2015,2,27,Ian Gordon,absent,absent,light
IG15.WA032,male,Watamu,Kenya,-3.33,40.02,,2015,12,14,Ian Gordon,absent,absent,light
IG15.WA035,male,Watamu,Kenya,-3.33,40.02,,2015,12,16,Ian Gordon,absent,absent,light
IG15.WA036,female,Watamu,Kenya,-3.33,40.02,,2015,12,16,Ian Gordon,absent,absent,light
IG15.WA037,female,Watamu,Kenya,-3.33,40.02,,2015,12,17,Ian Gordon,absent,absent,light
IG15.WA040,male,Watamu,Kenya,-3.33,40.02,,2015,12,21,Ian Gordon,absent,absent,light
IG15.WA041,male,Watamu,Kenya,-3.33,40.02,,2015,12,24,Ian Gordon,absent,absent,light
IG15.WA042,male,Watamu,Kenya,-3.33,40.02,,2015,12,26,Ian Gordon,absent,absent,light
IG15.WA049,male,Watamu,Kenya,-3.33,40.02,,2015,3,23,Ian Gordon,absent,absent,light
IG15.WA050,female,Watamu,Kenya,-3.33,40.02,,2015,3,23,Ian Gordon,absent,partial,light
IG15.WA051,female,Watamu,Kenya,-3.33,40.02,,2015,3,23,Ian Gordon,absent,absent,light
IG15.WA052,male,Watamu,Kenya,-3.33,40.02,,2015,3,23,Ian Gordon,absent,absent,light
IG15.WA053,male,Watamu,Kenya,-3.33,40.02,,2015,3,23,Ian Gordon,absent,absent,light
IG15.WA054,male,Watamu,Kenya,-3.33,40.02,,2015,3,23,Ian Gordon,absent,absent,light
