ID,Species,sex,Given. Name,Location,Country/Region,decimalLatitude,decimalLongitude,Date (yy.mm.dd),year,month,day,Collected By,hindwingWhite,forewingTip,groundColour
SM16N01,Danaus chrysippus,F,Jenny,Nigeria (Kanyang; Nigeria),Nigeria,6.24,8.97,16.01.16,2016,1,16,Oskar Brattstrom,present,present,light
SM16N04,Danaus chrysippus,F,Magda,Nigeria (Kanyang; Nigeria),Nigeria,6.24,8.97,16.01.19,2016,1,19,Oskar Brattstrom,present,present,light
SM16N05,Danaus chrysippus,M,Bubba,Nigeria (Kanyang; Nigeria),Nigeria,6.24,8.97,16.01.19,2016,1,19,Oskar Brattstrom,present,present,light
SM16N06,Danaus chrysippus,M,Lorchan,Nigeria (Kanyang; Nigeria),Nigeria,6.24,8.97,16.01.19,2016,1,19,Oskar Brattstrom,present,present,light
SM16N18,Danaus chrysippus,F,Roisin,Nigeria,Nigeria,6.24,8.97,16.01.21,2016,1,21,Oskar Brattstrom,present,present,light
SM16N19,Danaus chrysippus,M,Forrest ,Nigeria,Nigeria,6.24,8.97,16.01.22,2016,1,22,Oskar Brattstrom,present,present,light
SM16N20,Danaus chrysippus,M,Callum,Nigeria (Kanyang; Nigeria),Nigeria,6.24,8.97,16.01.22,2016,1,22,Oskar Brattstrom,present,present,light
SM16N37,Danaus chrysippus,M,Jackson,Nigeria (Kanyang; Nigeria),Nigeria,6.24,8.97,16.01.23,2016,1,23,Oskar Brattstrom,present,present,light
SM16N38,Danaus chrysippus,M,Tadhg,Nigeria,Nigeria,6.24,8.97,16.01.23,2016,1,23,Oskar Brattstrom,present,present,light
SM16N40,Danaus chrysippus,M,Tubs,Nigeria,Nigeria,6.24,8.97,16.01.29,2016,1,29,Oskar Brattstrom,present,present,light
SM16N41,Danaus chrysippus,M,Ciaran,Nigeria,Nigeria,6.24,8.97,16.01.29,2016,1,29,Oskar Brattstrom,present,present,light
SM16N42,Danaus chrysippus,M,Ronan,Nigeria,Nigeria,6.24,8.97,16.01.29,2016,1,29,Oskar Brattstrom,present,present,light
SM16N43,Danaus chrysippus,M,Sebastian,Nigeria,Nigeria,6.24,8.97,16.01.29,2016,1,29,Oskar Brattstrom,present,present,light
SM16N44,Danaus chrysippus,M,Ryan,Nigeria,Nigeria,6.24,8.97,16.01.29,2016,1,29,Oskar Brattstrom,present,present,light
